Urban,POP2010,OHU2010,NUMGQTRS,LILATracts_halfAnd10,LILATracts_Vehicle,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LATracts_half,LATracts1,LATracts10,LAPOP05_10,lawhitehalf,lablackhalf,laasianhalf,laomultirhalf,lawhite1,lanhopi1,laaian1,lahisp1,lahunv1,lahunv10,laasian20,lahunv20,lasnap20,TractLOWI,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractHispanic,TractHUNV,TractSNAP,ZScore_EstMedVal
1,3584,2087,35,0,0,1,8.6,69375,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953,2137,595,485,8,24,323,191,43,-0.2706789098939447
1,2819,1702,0,0,0,0,10.8,103846,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539,1796,416,329,5,10,304,214,17,-0.1217119033119349
1,2929,1644,6,0,0,0,8.4,113750,0,0,0,17.54938129,14.22948298,0.04751209,1.663917253,1.608469145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533,2140,185,342,5,5,274,303,30,0.4814051257694864
1,2283,1544,127,0,0,0,14.0,112841,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455,1621,186,306,4,7,149,279,0,0.1363525947084809
1,3483,1367,158,0,0,0,4.1,175446,1,1,0,3167.361334,2460.435134,145.5903532,346.7955993,198.5944384,1151.106151,1.711754128,6.702852249,59.42027768,9.478205811,0.0,0.0,0.0,0.0,232,2656,178,405,2,15,187,50,6,2.081260033440998
1,3218,1337,3,0,0,0,2.4,193839,1,0,0,2098.159693,1589.30984,100.4187477,257.2589999,144.9089571,142.1117692,0.0,0.0,12.56867579,0.0,0.0,0.0,0.0,0.0,267,2467,144,379,0,10,170,37,0,2.360709089583892
1,5314,2279,0,0,0,0,4.5,166071,1,1,0,4994.732485,3539.300632,250.6922003,804.8125036,379.5463484,1622.492119,3.985601245,3.215690403,175.7894111,15.36561771,0.0,0.0,0.0,0.0,389,3788,261,832,7,14,355,37,9,1.3534601570013975
1,1677,688,0,0,0,0,2.7,177500,0,0,0,354.6671712,260.7484348,19.71171612,43.38679212,30.45179443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,1278,73,198,1,1,97,18,0,1.93555507809801
1,5784,2443,6,0,0,0,2.9,148205,1,1,0,3470.31971,2624.12799,259.359452,287.8044196,285.5936965,525.1582692,0.706024189,0.921086716,42.4560221,0.0,0.0,0.0,0.0,0.0,540,4368,370,559,6,22,347,13,41,1.108081413799401
1,4353,1800,0,0,0,0,3.3,162622,1,1,0,4149.413449,3177.70534,256.2340361,426.6108469,276.8186419,1190.055512,1.300368488,0.733425063,85.46239426,12.97101287,0.0,0.0,0.0,0.0,247,3326,261,450,7,6,239,42,10,1.419426082057178
